gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
1056269682	StillImage	image/tiff	http://www.nhm.ac.uk/services/media-store/asset/18930c4c165eb432a6a1095210a0ffb89e1d294b/contents/preview		BM000552469								http://creativecommons.org/licenses/by/4.0/	The Trustees of the Natural History Museum, London
1056269682	StillImage	image/tiff	http://www.nhm.ac.uk/services/media-store/asset/197c387f741eb2709a409d55492e421d88f1a31f/contents/preview		BM000552469								http://creativecommons.org/licenses/by/4.0/	The Trustees of the Natural History Museum, London
1019560650	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1446822591923M58gE7u79oqbtDvU					Paris, Museum National d'Histoire Naturelle, FC					cc-by	
416030051	StillImage	image/jpeg	http://ww2.bgbm.org/herbarium/images/B/10/01/54/80/B_10_0154804.jpg	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=23627									Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	
439454923	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14433532332805NOW60yfCQQ2qjZJ					Paris, Museum National d'Histoire Naturelle, ER					cc-by	
367043680				http://herbarium.univie.ac.at/database/image.php?filename=94114&method=show										
1230822345				http://herbarium.univie.ac.at/database/image.php?filename=94225&method=show										
1230822606				http://herbarium.univie.ac.at/database/image.php?filename=94227&method=show										
1144617531				http://data.gbif.ch/Search.action#/?dataDialog=on&dataId=4308192&dataTabIndex=1										
1144617566				http://data.gbif.ch/Search.action#/?dataDialog=on&dataId=4308207&dataTabIndex=1										
144865782	StillImage	image/jpeg	http://ww2.bgbm.org/herbarium/images/B/10/01/53/87/B_10_0153879.jpg	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=23820									Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	
144865791	StillImage	image/jpeg	http://ww2.bgbm.org/herbarium/images/B/10/01/53/86/B_10_0153866.jpg	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=23790									Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	
144865819	StillImage	image/jpeg	http://ww2.bgbm.org/herbarium/images/B/10/01/53/84/B_10_0153849.jpg	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=23751									Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	
144865868	StillImage	image/jpeg	http://ww2.bgbm.org/herbarium/images/B/10/01/53/82/B_10_0153829.jpg	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=23708									Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	
667520542	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441385895696pbNYMPNlf7jvyibQ										cc-by	
667524092	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441385717122FNpNIuf19sgvrv6g										cc-by	
667524096	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413857170497ORjIhuoTidHeADy										cc-by	
667534618	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441385740192kDaUwgW0bianzSoz										cc-by	
667538154	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413857404226cocDfSyCa5ggz68										cc-by	
667616590	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441385772332V7SdEPcl68cKSI9f										cc-by	
