gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
1066856688																										acee56f8-8505-4134-bd93-1452039379d8																																									acee56f8-8505-4134-bd93-1452039379d8	14537		L.f.																													01-01-1993																																							-31.502	115.70522	AGD84	300																																						CALM survey team													Heliophila pusilla								Plantae				Brassicaceae	Heliophila		pusilla		pusilla							
1056269682																										2314820													2015-04-17																				NHMUK	BOT			Specimen			"{""collectionkind"": ""Sheet"", ""recordtype"": ""Specimen - single"", ""created"": ""2007-09-27"", ""centroid"": true, ""subdepartment"": ""Flowering Plants"", ""determinations"": {""filedAs"": [""True"", "" False""], ""name"": [""Heliophila dissecta Thunb."", "" Heliophila tenella DC.""]}, ""dqi"": ""Minor errors""}"	8a605130-3219-429f-9242-5c7fc2f81892	BM000552469	457	Oldenburg																NHMUK:ecatalogue:4517964																														Africa; South Africa	Africa				South Africa																	-28.99853	25.092539						28 59 54.71 S	025 05 33.14 E								Google Earth																								Type														Heliophila dissecta Thunb.							Brassicaceae					Brassicaceae	Heliophila		dissecta				Thunb.					
1019560650																										http://coldb.mnhn.fr/catalognumber/mnhn/p/p00723708																																	MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p00723708	P00723708		Schlechter, F.R.R.						fl fr				hb																		10050	1897-1-19				1897	1	19																Afrique australe	za					Koude Bokkeveld. Gydouwberg																																																																	Heliophila scoparia Burch. & DC.																			Burch. & DC.					
1009059047													2012-11-02													HE806204													2012-11-02			MaterialSample																									HE806204			Lysak & Mandakova #33														HE806204																																					South Africa:Namaqualand, Kamieskroon, gravel road from Kamieskroon to Skilpad																	-30.16	17.81																																													302141								Heliophila amplexicaulis							species										Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;eudicotyledons;Gunneridae;Pentapetalae;rosids;malvids;Brassicales;Brassicaceae;Heliophileae;Heliophila							
1009059104													2012-11-02													HE806210													2012-11-02			MaterialSample																									HE806210			Lysak & Mandakova #13														HE806210																																					South Africa:Western Cape, Olifants River valley, gravel road Citrusdal-Algeria																	-32.36	18.95																																													1187070								Heliophila bulbostyla							species										Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;eudicotyledons;Gunneridae;Pentapetalae;rosids;malvids;Brassicales;Brassicaceae;Heliophileae;Heliophila							
1009059131													2012-11-02													HE806271													2012-11-02			MaterialSample																									HE806271			Mummenhoff 1480														HE806271																																					South Africa:Western Cape, Witzenberg, Agterwitzenberg																	-33.23	19.3																																													302134								Heliophila scoparia							species										Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;eudicotyledons;Gunneridae;Pentapetalae;rosids;malvids;Brassicales;Brassicaceae;Heliophileae;Heliophila							
1052072160																										UPS:BOT:V-557405													05/08/2015																				UPS	BOT			preservedspecimen				UPS:BOT:V-557405	V-557405		N. Jürgens																												22962	1987-09-25				1987	9	25												Africa				South Africa		Northern Cape			Richterveld. Kahams. Hügelland SE, Hügel, Unterhang, Felshang mit Schutt. Relevé: 505												-28.2333300	17.6666700																																								M.C. Makgakga	2006												Heliophila variabilis												Brassicaceae	Heliophila											
1137174220																										L.1827421																																	Naturalis	Botany			PreservedSpecimen				http://data.biodiversitydata.nl/naturalis/specimen/L.1827421	L.1827421		Sieber																																																			Unknown					Cap B.Spei.																																																																		Heliophila pusilla L.f.							Plantae|Magnoliopsida|Brassicales|Cruciferae	Plantae			Brassicales	Cruciferae	Heliophila		pusilla		species	species	L.f.		ICN			
1095989497																										S:VascularPlants:S-G-8768													2015-04-11T12:09:54+02:00															PhysicalObject		urn:lsid:biocol.org:col:15668			S	VascularPlants			preservedspecimen				S:VascularPlants:S-G-8768	S-G-8768	s.n.	Ecklon & Zeyher										dried on sheet							Lectotype selected by B. Nordenstam 1979											s.n.								Not on sheet										Africa; South Africa; Cape, s. lat.	Africa				South Africa	ZA	Cape, s. lat.			Cape, Caledon, Zwarteberg	Cape, Caledon, Zwarteberg																																																			lectotype, basionym: Heliophila flacca Sond.														Heliophila diffusa (Thunb.) DC.							Plantae;Magnoliophyta;Brassicales;Brassicaceae;Heliophila	Plantae	Magnoliophyta		Brassicales	Brassicaceae	Heliophila		diffusa				(Thunb.) DC.					
1096787303																										S:VascularPlants:S12-16072													2015-04-11T15:38:35+02:00															PhysicalObject		urn:lsid:biocol.org:col:15668			S	VascularPlants			preservedspecimen				S:VascularPlants:S12-16072	S12-16072	2355	R. Schlechter										dried on sheet													Heliophila schlechteri Schinz; = H.coronopifolia					2355	1893-03-18																	Africa; South Africa	Africa				South Africa	ZA				Plantae Africae Australis. Reg. austral. In colle pr. George	Plantae Africae Australis. Reg. austral. In colle pr. George	300																																																		type, basionym: Heliophila schlechteri Schinz														Heliophila coronopifolia L.							Plantae;Magnoliophyta;Brassicales;Brassicaceae;Heliophila	Plantae	Magnoliophyta		Brassicales	Brassicaceae	Heliophila		coronopifolia				L.					
