species,life_history,Winter,Spring,Summer,Autumn,decimalLatitude,decimalLongitude,src
Heliophila acuminata,A,0.336812697106815,0.449730661495367,0.542168003565062,0.473810503222268,-31.375,19.125,GBIF
Heliophila acuminata,A,0.336812697106815,0.449730661495367,0.542168003565062,0.473810503222268,-31.375,19.125,GBIF
Heliophila acuminata,A,0.274621212121212,0.469354175236528,0.407544049088167,0.339709310297546,-33.125,18.875,GBIF
Heliophila acuminata,A,0.441215034965035,0.471548059783354,0.214645036336213,0.173728232551762,-33.625,18.875,GBIF
Heliophila acuminata,A,0.537218908542438,0.401445613210319,0.363057897984369,0.47333059097765,-33.625,19.625,GBIF
Heliophila acuminata,A,0.441215034965035,0.471548059783354,0.214645036336213,0.173728232551762,-33.625,18.875,GBIF
Heliophila acuminata,A,0.308994926641986,0.424359953771719,0.492668483477307,0.33305909776498,-28.99861,25.0925,GBIF
Heliophila acuminata,A,0.307255244755245,0.371931989579048,0.356206293706294,0.346907993966818,-32.375,18.875,GBIF
Heliophila acuminata,A,0.338141025641026,0.396270396270396,0.454099821746881,0.535239270533388,-33.375,18.375,GBIF
Heliophila acuminata,A,0.297785547785548,0.343891402714932,0.373277457836281,0.328877005347594,-32.875,18.625,GBIF
Heliophila acuminata,A,0.329494035376388,0.397469197469197,0.526292335115865,0.252022487316605,-32.375,20.375,GBIF
Heliophila acuminata,A,0.255754662004662,0.332990538872892,0.479676573426573,0.475044563279857,-33.375,18.625,GBIF
Heliophila acuminata,A,0.441215034965035,0.471548059783354,0.214645036336213,0.173728232551762,-33.625,18.875,GBIF
Heliophila acuminata,A,0.308994926641986,0.424359953771719,0.492668483477307,0.33305909776498,-28.99861,25.0925,GBIF
Heliophila acuminata,A,0.314248251748252,0.357877416700946,0.461637014945839,0.462772521596051,-33.125,18.625,GBIF
Heliophila acuminata,A,0.293414918414918,0.293774852598382,0.372103386809269,0.378856437679967,-33.01667,18.98333,GBIF
Heliophila acuminata,A,0.333114801864802,0.460852872617579,0.30015511449335,0.236733854380913,-32.625,18.875,GBIF
Heliophila acuminata,A,0.412313177019059,0.428146363440481,0.239450500479912,0.206636500754148,-24.875,30.125,GBIF
Heliophila acuminata,A,0.248834498834499,0.421431509666804,0.720198306595365,0.517893870835047,-33.875,19.625,GBIF
