species,life_history,lat,lon,Winter,Spring,Summer,Autumn,src
Heliophila acuminata,A,-32.1567460714286,19.8319046428571,0.324702287088643,0.379342046681224,0.406203505755196,0.364469040570171,GBIF
Heliophila africana,A,-33.1772069230769,19.1915842857143,0.326077773204999,0.349050806536931,0.343834729860069,0.341594260081655,GBIF
Heliophila amplexicaulis,A,-31.290088,18.5984026666667,0.32078304633663,0.35738638024135,0.389431285106556,0.328740300717988,GBIF
Heliophila arenaria,A,-31.5291869230769,18.8448981538462,0.339164815914309,0.371895860419811,0.382688368000714,0.339206133233283,GBIF
Heliophila carnosa,P,-30.4578481395349,22.8781462790698,0.326065862477957,0.36656258318365,0.388631478029971,0.314219217370309,GBIF
Heliophila cedarbergensis,P,-32.375,19.2916666666667,0.39946409799351,0.433687880746704,0.318873120343709,0.27366424425248,GBIF
Heliophila collina,A,-31.389375,19.29875,0.353465277063623,0.467283206989089,0.483937669254765,0.446069861511038,GBIF
Heliophila cornellsbergia,A,-28.5,17.125,0.334361716714658,0.415186774010303,0.349033319621555,0.212909639380228,GBIF
Heliophila cornuta,P,-31.6516395049505,19.6756432673267,0.351020212315349,0.395324729628748,0.403306591971414,0.338595398001339,GBIF
Heliophila coronopifolia,A,-32.8499285,19.892126,0.368695126677188,0.415018537919146,0.398480123559845,0.366055391532065,GBIF
Heliophila crithmifolia,A,-31.5860251546392,19.8735567010309,0.345502094933569,0.420223378804337,0.451995523175026,0.382977039132285,GBIF
Heliophila descurva,A,-32.2082175,20.1049308333333,0.361097899241282,0.379851194557077,0.380196192696193,0.291849490378902,GBIF
Heliophila deserticola,A,-28.7889990225564,18.3298103007519,0.48406402034498,0.484957324851177,0.462257008986885,0.446524579651515,GBIF
Heliophila digitata,A,-32.5415713333333,19.731168,0.332789966588141,0.376201776587172,0.438298222342633,0.384869776380933,GBIF
Heliophila dregeana,P,-32.4530552941177,19.4723041176471,0.333052040231971,0.368191669921774,0.331116259749478,0.318443955122156,GBIF
Heliophila elongata,P,-32.0825846341463,26.8523780487805,0.258193623688602,0.32056761985026,0.29673061873564,0.252153752512433,GBIF
Heliophila ephemera,A,-32.25,23.4166666666667,0.136437908496732,0.272526166643814,0.311473044928927,0.258946935417524,GBIF
Heliophila esterhuyseniae,P,-33.375,18.9583333333333,0.212825369075369,0.303258832670597,0.373733088806618,0.273549979432332,GBIF
Heliophila eximia,P,-28.1458333333333,16.8125,0.424842314548197,0.412323460852873,0.320343565747978,0.341697518168106,GBIF
Heliophila gariepina,A,-28.7916666666667,17.3333333333333,0.49781040038393,0.534194726841786,0.482964186548745,0.405788655788656,GBIF
Heliophila glauca,P,-33.2679205714286,22.0915237142857,0.290213952713953,0.347289964937024,0.342401226224756,0.32571350218409,GBIF
Heliophila juncea,P,-32.3148998666667,19.3851849333333,0.320961501639747,0.374258425820292,0.390145030509915,0.345981723482738,GBIF
Heliophila linearis,P,-33.960115212766,20.7411790425532,0.316356466822027,0.329162797339613,0.275932614150791,0.296536558330395,GBIF
Heliophila macowaniana,A,-32.6671119354839,19.4182270967742,0.328530478850688,0.381437221854679,0.443672373641539,0.387315720332798,GBIF
Heliophila macra,P,-33.9066881818182,20.375835,0.302296735123353,0.303408601970284,0.319766230040002,0.285143392473284,GBIF
Heliophila macrosperma,P,-31.959666,25.9855,0.28177790346908,0.35689251924546,0.349601501439737,0.250898121486357,GBIF
Heliophila minima,P,-28.6067391428571,21.9901894285714,0.356022531390178,0.450351049510713,0.507377916201446,0.392928639987464,GBIF
Heliophila namaquana,A,-31.30451375,19.936041875,0.393957604895105,0.463988829797653,0.478613107174688,0.38713492389963,GBIF
Heliophila nubigena,P,-33.249922631579,19.6627652631579,0.307559023793544,0.356986151103798,0.426695434338623,0.381782819863315,GBIF
Heliophila pectinata,A,-32.21861125,20.615399375,0.274538459395996,0.340480597833539,0.500642203996983,0.336062834224599,GBIF
Heliophila polygaloides,P,-32.3157341666667,20.4355591666667,0.398701023241464,0.483891925068396,0.42347827825769,0.34194890077243,GBIF
Heliophila pubescens,A,-31.9165122222222,20.9269444444444,0.309483884851532,0.39656683186095,0.48213469536999,0.392552980788275,GBIF
Heliophila pusilla,A,-33.4573497777778,19.3537971111111,0.324850775898781,0.379692797623832,0.383571603964151,0.337504360262981,GBIF
Heliophila rigidiuscula,P,-28.3036414925373,29.7413391542289,0.298682317328627,0.334178301221382,0.276405125059196,0.243230747233048,GBIF
Heliophila scoparia,P,-33.3976963207547,19.3512183018868,0.314740738495235,0.368048149052015,0.360538875612065,0.311202161980033,GBIF
Heliophila seselifolia,A,-30.550934,19.2780695,0.36331951042112,0.422397458440815,0.447979828532323,0.396146084307849,GBIF
Heliophila suavissima,P,-31.151037826087,25.0484756521739,0.301538448497368,0.388596101255948,0.422094695851889,0.313029468400312,GBIF
Heliophila subulata,P,-33.3022060194175,23.4145954368932,0.293340320325516,0.326077946027138,0.31172567144116,0.294185950851108,GBIF
Heliophila tricuspidata,P,-34.03125,19.65625,0.275909905045935,0.332171015259251,0.375896621760592,0.301050665021253,GBIF
Heliophila trifurca,A,-28.9632828571429,19.1327453246753,0.453049846766424,0.477894425411614,0.480280915608456,0.429114557456803,GBIF
