CLASS,TAXNAME,GRIDREF,LatDec,LongDec,
A,Heliophila acuminata,2430CC,24.875,30.125,
A,Heliophila acuminata,3118BD,31.375,18.875,
A,Heliophila acuminata,3119AC,31.375,19.125,
A,Heliophila acuminata,3119BD,31.375,19.875,
A,Heliophila acuminata,3120CA,31.625,20.125,
A,Heliophila acuminata,3218AB,32.125,18.375,
A,Heliophila acuminata,3218BD,32.375,18.875,
A,Heliophila acuminata,3218DB,32.625,18.875,
A,Heliophila acuminata,3218DC,32.875,18.625,
A,Heliophila acuminata,3218DD,32.875,18.875,
A,Heliophila acuminata,3220AD,32.375,20.375,
A,Heliophila acuminata,3318AA,33.125,18.125,
A,Heliophila acuminata,3318AD,33.375,18.375,
A,Heliophila acuminata,3318BA,33.125,18.625,
A,Heliophila acuminata,3318BB,33.125,18.875,
A,Heliophila acuminata,3318BC,33.375,18.625,
A,Heliophila acuminata,3318DB,33.625,18.875,
A,Heliophila acuminata,3319DA,33.625,19.625,
A,Heliophila acuminata,3319DC,33.875,19.625,
A,Heliophila acuminata,3418AD,34.375,18.375,
A,Heliophila africana,3017DA,30.625,17.625,
A,Heliophila africana,3030CC,30.875,30.125,
A,Heliophila africana,3118BC,31.375,18.625,
A,Heliophila africana,3118DB,31.625,18.875,
A,Heliophila africana,3217DD,32.875,17.875,
A,Heliophila africana,3218AB,32.125,18.375,
A,Heliophila africana,3218BA,32.125,18.625,
A,Heliophila africana,3218BB,32.125,18.875,
A,Heliophila africana,3218BD,32.375,18.875,
A,Heliophila africana,3218CB,32.625,18.375,
A,Heliophila africana,3218DC,32.875,18.625,
A,Heliophila africana,3219AA,32.125,19.125,
A,Heliophila africana,3219AC,32.375,19.125,
A,Heliophila africana,3219CA,32.625,19.125,
A,Heliophila africana,3219DC,32.875,19.625,
A,Heliophila africana,33128CB7,33.86257,12.83757,
A,Heliophila africana,3317BB,33.125,17.875,
A,Heliophila africana,3318AA,33.125,18.125,
A,Heliophila africana,3318AB,33.125,18.375,
A,Heliophila africana,3318AC,33.375,18.125,
A,Heliophila africana,3318AD,33.375,18.375,
A,Heliophila africana,3318BC,33.375,18.625,
A,Heliophila africana,3318CB,33.625,18.375,
A,Heliophila africana,3318CB17,33.62517,18.37517,
A,Heliophila africana,3318CB7,33.6257,18.3757,
A,Heliophila africana,3318CD,33.875,18.375,
A,Heliophila africana,3318DA,33.625,18.625,
A,Heliophila africana,3318DB,33.625,18.875,
A,Heliophila africana,3318DC,33.875,18.625,
A,Heliophila africana,3318DC18,33.87518,18.62518,
A,Heliophila africana,3318DD,33.875,18.875,
A,Heliophila africana,3319AC,33.375,19.125,
A,Heliophila africana,3319AD,33.375,19.375,
A,Heliophila africana,3319CA,33.625,19.125,
A,Heliophila africana,3319CB,33.625,19.375,
A,Heliophila africana,3319DA,33.625,19.625,
A,Heliophila africana,3319DD,33.875,19.875,
A,Heliophila africana,3322CD,33.875,22.375,
A,Heliophila africana,3322DC,33.875,22.625,
A,Heliophila africana,3418AB,34.125,18.375,
A,Heliophila africana,3418AD,34.375,18.375,
A,Heliophila africana,3418BA,34.125,18.625,
A,Heliophila africana,3418BA,34.125,18.625,
A,Heliophila africana,3418BB,34.125,18.875,
A,Heliophila africana,3419AC,34.375,19.125,
A,Heliophila africana,3419DA,34.625,19.625,
A,Heliophila africana,3420AA,34.125,20.125,
A,Heliophila africana,3420AB,34.125,20.375,
A,Heliophila africana,3420AD,34.375,20.375,
A,Heliophila africana,3420BB,34.125,20.875,
A,Heliophila africana,3420BD,34.375,20.875,
A,Heliophila africana,3420CA,34.625,20.125,
A,Heliophila africana,3420CB,34.625,20.375,
A,Heliophila africana,3420CC,34.875,20.125,
A,Heliophila africana,3421AC,34.375,21.125,
A,Heliophila africana,3421AD,34.375,21.375,
A,Heliophila africana,3421BC,34.375,21.625,
A,Heliophila africana,3422AA,34.125,22.125,
A,Heliophila africana,3422BB,34.125,22.875,
A,Heliophila amplexicaulis,2917BC,29.375,17.625,
A,Heliophila amplexicaulis,2917DA,29.625,17.625,
A,Heliophila amplexicaulis,2917DB,29.625,17.875,
A,Heliophila amplexicaulis,2917DC,29.875,17.625,
A,Heliophila amplexicaulis,2917DD,29.875,17.875,
A,Heliophila amplexicaulis,2918CA,29.625,18.125,
A,Heliophila amplexicaulis,3017BB,30.125,17.875,
A,Heliophila amplexicaulis,3017BD,30.375,17.875,
A,Heliophila amplexicaulis,3017DB,30.625,17.875,
A,Heliophila amplexicaulis,3018AB,30.125,18.375,
A,Heliophila amplexicaulis,3018AC,30.375,18.125,
A,Heliophila amplexicaulis,3018CA,30.625,18.125,
A,Heliophila amplexicaulis,3018CC,30.875,18.125,
A,Heliophila amplexicaulis,3018CD,30.875,18.375,
A,Heliophila amplexicaulis,3019CA,30.625,19.125,
A,Heliophila amplexicaulis,3118AA,31.125,18.125,
A,Heliophila amplexicaulis,3118BB,31.125,18.875,
A,Heliophila amplexicaulis,3118DC,31.875,18.625,
A,Heliophila amplexicaulis,3119AC,31.375,19.125,
A,Heliophila amplexicaulis,3119AD,31.375,19.375,
A,Heliophila amplexicaulis,3119BD,31.375,19.875,
A,Heliophila amplexicaulis,3119CA,31.625,19.125,
A,Heliophila amplexicaulis,3119CC,31.875,19.125,
A,Heliophila amplexicaulis,3119CD,31.875,19.375,
A,Heliophila amplexicaulis,3217DD,32.875,17.875,
A,Heliophila amplexicaulis,3218BB,32.125,18.875,
A,Heliophila amplexicaulis,3218BC,32.375,18.625,
A,Heliophila amplexicaulis,3218DA,32.625,18.625,
A,Heliophila amplexicaulis,3219AC,32.375,19.125,
A,Heliophila amplexicaulis,3220AA,32.125,20.125,
A,Heliophila amplexicaulis,3220AC,32.375,20.125,
A,Heliophila amplexicaulis,3220CB,32.625,20.375,
A,Heliophila amplexicaulis,3220CD,32.875,20.375,
A,Heliophila amplexicaulis,3220DC,32.875,20.625,
A,Heliophila amplexicaulis,3317BB,33.125,17.875,
A,Heliophila amplexicaulis,3320AC,33.375,20.125,
A,Heliophila amplexicaulis,3320BA,33.125,20.625,
A,Heliophila amplexicaulis,3320DD,33.875,20.875,
A,Heliophila amplexicaulis,3418AD,34.375,18.375,
A,Heliophila amplexicaulis,3418BB,34.125,18.875,
A,Heliophila amplexicaulis,3418BD,34.375,18.875,
A,Heliophila arenaria,3017AD,30.375,17.375,
A,Heliophila arenaria,3017BA,30.125,17.625,
A,Heliophila arenaria,3017BD,30.375,17.875,
A,Heliophila arenaria,3017DC,30.875,17.625,
A,Heliophila arenaria,3018AA,30.125,18.125,
A,Heliophila arenaria,3018AC,30.375,18.125,
A,Heliophila arenaria,3117BD,31.375,17.875,
A,Heliophila arenaria,3118AB,31.125,18.375,
A,Heliophila arenaria,3118BB,31.125,18.875,
A,Heliophila arenaria,3118BC,31.375,18.625,
A,Heliophila arenaria,3118CB,31.625,18.375,
A,Heliophila arenaria,3118DA,31.625,18.625,
A,Heliophila arenaria,3118DB,31.625,18.875,
A,Heliophila arenaria,3118DC,31.875,18.625,
A,Heliophila arenaria,3119AB,31.125,19.375,
A,Heliophila arenaria,3119AC,31.375,19.125,
A,Heliophila arenaria,3119CA,31.625,19.125,
A,Heliophila arenaria,3119CD,31.875,19.375,
A,Heliophila arenaria,3217DD,32.875,17.875,
A,Heliophila arenaria,3218AB,32.125,18.375,
A,Heliophila arenaria,3218BB,32.125,18.875,
A,Heliophila arenaria,3219AA,32.125,19.125,
A,Heliophila arenaria,3318DA,33.625,18.625,
P,Heliophila carnosa,2530AC,25.375,30.125,
P,Heliophila carnosa,2531CC,25.875,31.125,
P,Heliophila carnosa,2628AA,26.125,28.125,
P,Heliophila carnosa,2628AD,26.375,28.375,
P,Heliophila carnosa,2628CA,26.625,28.125,
P,Heliophila carnosa,2629BB,26.125,29.875,
P,Heliophila carnosa,2730AC,27.375,30.125,
P,Heliophila carnosa,2730AD,27.375,30.375,
P,Heliophila carnosa,2816BD,28.375,16.875,
P,Heliophila carnosa,2816DC,28.875,16.625,
P,Heliophila carnosa,2817AA,28.125,17.125,
P,Heliophila carnosa,2817AC,28.375,17.125,
