species,life_history
Heliophila_acuminata,a
Heliophila_africana,a
Heliophila_amplexicaulis,a
Heliophila_arenaria,a
Heliophila_carnosa,p
Heliophila_cedarbergensis,p
Heliophila_collina,a
Heliophila_cornellsbergia,a
Heliophila_cornuta,p
Heliophila_coronopifolia,a
Heliophila_crithmifolia,a
Heliophila_descurva,a
Heliophila_deserticola,a
Heliophila_digitata,a
Heliophila_dregeana,p
Heliophila_elongata,p
Heliophila_ephemera,a
Heliophila_esterhuyseniae,p
Heliophila_eximia,p
Heliophila_gariepina,a
Heliophila_glauca,p
Heliophila_juncea,p
Heliophila_linearis,p
Heliophila_macowaniana,a
Heliophila_macra,p
Heliophila_macrosperma,p
Heliophila_minima,p
Heliophila_namaquana,a
Heliophila_nubigena,p
Heliophila_pectinata,a
Heliophila_polygaloides,p
Heliophila_pubescens,a
Heliophila_pusilla,a
Heliophila_rigidiuscula,p
Heliophila_scoparia,p
Heliophila_seselifolia,a
Heliophila_suavissima,p
Heliophila_subulata,p
Heliophila_tricuspidata,p
Heliophila_trifurca,a
Heliophila_tulbaghensis,p
Heliophila_variabilis,a
