"","Species","LH","n","Winter","Spring","Summer","Autumn"
"1","Heliophila acuminata","a",28,0.324702287088643,0.379342046681224,0.406203505755196,0.364469040570171
"2","Heliophila africana","a",91,0.326077773204999,0.349050806536931,0.343834729860069,0.341594260081655
"3","Heliophila amplexicaulis","a",60,0.32078304633663,0.35738638024135,0.389431285106556,0.328740300717988
"4","Heliophila arenaria","a",65,0.339164815914309,0.371895860419811,0.382688368000714,0.339206133233283
"5","Heliophila carnosa","p",129,0.326065862477957,0.36656258318365,0.388631478029971,0.314219217370309
"6","Heliophila cedarbergensis","p",3,0.39946409799351,0.433687880746704,0.318873120343709,0.27366424425248
"7","Heliophila collina","a",16,0.353465277063623,0.467283206989089,0.483937669254765,0.446069861511038
"8","Heliophila cornellsbergia","a",2,0.334361716714658,0.415186774010303,0.349033319621555,0.212909639380228
"9","Heliophila cornuta","p",101,0.351020212315349,0.395324729628748,0.403306591971414,0.338595398001339
"10","Heliophila coronopifolia","a",40,0.368695126677188,0.415018537919146,0.398480123559845,0.366055391532065
"11","Heliophila crithmifolia","a",97,0.345502094933569,0.420223378804337,0.451995523175026,0.382977039132285
"12","Heliophila descurva","a",12,0.361097899241282,0.379851194557077,0.380196192696193,0.291849490378902
"13","Heliophila deserticola","a",133,0.48406402034498,0.484957324851177,0.462257008986885,0.446524579651515
"14","Heliophila digitata","a",30,0.332789966588141,0.376201776587172,0.438298222342633,0.384869776380933
"15","Heliophila dregeana","p",17,0.333052040231971,0.368191669921774,0.331116259749478,0.318443955122156
"16","Heliophila elongata","p",82,0.258193623688602,0.32056761985026,0.29673061873564,0.252153752512433
"17","Heliophila ephemera","a",3,0.136437908496732,0.272526166643814,0.311473044928927,0.258946935417524
"18","Heliophila esterhuyseniae","p",3,0.212825369075369,0.303258832670597,0.373733088806618,0.273549979432332
"19","Heliophila eximia","p",12,0.424842314548197,0.412323460852873,0.320343565747978,0.341697518168106
"20","Heliophila gariepina","a",12,0.49781040038393,0.534194726841786,0.482964186548745,0.405788655788656
"21","Heliophila glauca","p",35,0.290213952713953,0.347289964937024,0.342401226224756,0.32571350218409
"22","Heliophila juncea","p",150,0.320961501639747,0.374258425820292,0.390145030509915,0.345981723482738
"23","Heliophila linearis","p",94,0.316356466822027,0.329162797339613,0.275932614150791,0.296536558330395
"24","Heliophila macowaniana","a",31,0.328530478850688,0.381437221854679,0.443672373641539,0.387315720332798
"25","Heliophila macra","p",22,0.302296735123353,0.303408601970284,0.319766230040002,0.285143392473284
"26","Heliophila macrosperma","p",5,0.28177790346908,0.35689251924546,0.349601501439737,0.250898121486357
"27","Heliophila minima","p",35,0.356022531390178,0.450351049510713,0.507377916201446,0.392928639987464
"28","Heliophila namaquana","a",16,0.393957604895105,0.463988829797653,0.478613107174688,0.38713492389963
"29","Heliophila nubigena","p",19,0.307559023793544,0.356986151103798,0.426695434338623,0.381782819863315
"30","Heliophila pectinata","a",16,0.274538459395996,0.340480597833539,0.500642203996983,0.336062834224599
"31","Heliophila polygaloides","p",12,0.398701023241464,0.483891925068396,0.42347827825769,0.34194890077243
"32","Heliophila pubescens","a",9,0.309483884851532,0.396566831860949,0.482134695369989,0.392552980788275
"33","Heliophila pusilla","a",45,0.324850775898781,0.379692797623832,0.383571603964151,0.337504360262981
"34","Heliophila rigidiuscula","p",201,0.298682317328627,0.334178301221382,0.276405125059196,0.243230747233048
"35","Heliophila scoparia","p",106,0.314740738495235,0.368048149052014,0.360538875612065,0.311202161980033
"36","Heliophila seselifolia","a",80,0.36331951042112,0.422397458440815,0.447979828532323,0.396146084307849
"37","Heliophila suavissima","p",92,0.301538448497368,0.388596101255948,0.422094695851889,0.313029468400312
"38","Heliophila subulata","p",103,0.293340320325516,0.326077946027138,0.31172567144116,0.294185950851108
"39","Heliophila tricuspidata","p",8,0.275909905045934,0.332171015259251,0.375896621760592,0.301050665021253
"40","Heliophila trifurca","a",77,0.453049846766424,0.477894425411614,0.480280915608456,0.429114557456803
"41","Heliophila tulbaghensis","p",3,0.361752422414187,0.407990702108349,0.361576740253211,0.34802778920426
"42","Heliophila variabilis","a",97,0.346138075841684,0.412482463968213,0.402562264903078,0.370051214199183
