"","species","gbifID","abstract","accessRights","accrualMethod","accrualPeriodicity","accrualPolicy","alternative","audience","available","bibliographicCitation","conformsTo","contributor","coverage","created","creator","date","dateAccepted","dateCopyrighted","dateSubmitted","description","educationLevel","extent","format","hasFormat","hasPart","hasVersion","identifier","instructionalMethod","isFormatOf","isPartOf","isReferencedBy","isReplacedBy","isRequiredBy","isVersionOf","issued","language","license","mediator","medium","modified","provenance","publisher","references","relation","replaces","requires","rights","rightsHolder","source","spatial","subject","tableOfContents","temporal","title","type","valid","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOccurrences","associatedOrganisms","previousIdentifications","organismRemarks","materialSampleID","eventID","parentEventID","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","samplingEffort","sampleSizeValue","sampleSizeUnit","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","identificationQualifier","typeStatus","identifiedBy","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","coordinateAccuracy","elevation","elevationAccuracy","depth","depthAccuracy","distanceAboveSurface","distanceAboveSurfaceAccuracy","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","genericName","typifiedName","protocol","lastParsed","lastCrawled","life_history","ymd_lat_lon_sp","Winter","Spring","Summer","Fall","date_calc","days","days_adjusted"
"1","Heliophila acuminata",453256118,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,"","","","SANBI","PRECIS","","","PRESERVED_SPECIMEN",NA,NA,"","","PRE0407996-0","","Schlechter F.R.R.","",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","1897-08-04T00:00Z",NA,NA,NA,1897,8,4,"","","",NA,NA,NA,"","",NA,NA,"","",NA,NA,NA,"ZA","","","","Not available","","",NA,NA,NA,"","",-33.125,18.875,NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Heliophila acuminata (Eckl. & Zeyh.) Steud.",NA,NA,"","",NA,NA,"","Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Heliophila",NA,"acuminata","","SPECIES","",NA,"","","","","1881d048-04f9-4bc2-b7c8-931d1659a354","ZA","2014-06-05T10:26Z",NA,NA,NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84","",TRUE,FALSE,5374311,6,49,220,7225535,3112,3043831,NA,5374311,"Heliophila","","TAPIR","","2013-09-07T09:17Z","a","1897_8_4_-33.125_18.875_Heliophila acuminata",0.274621212121212,0.469354175236528,0.407544049088167,0.339709310297546,2018-08-04,216,81
"2","Heliophila acuminata",453256123,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,"","","","SANBI","PRECIS","","","PRESERVED_SPECIMEN",NA,NA,"","","PRE0408001-0","","Thomson J.B.","",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","1883-10-31T00:00Z",NA,NA,NA,1883,10,31,"","","",NA,NA,NA,"","",NA,NA,"","",NA,NA,NA,"ZA","","","","Not available","","",NA,NA,NA,"","",-33.625,18.875,NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Heliophila acuminata (Eckl. & Zeyh.) Steud.",NA,NA,"","",NA,NA,"","Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Heliophila",NA,"acuminata","","SPECIES","",NA,"","","","","1881d048-04f9-4bc2-b7c8-931d1659a354","ZA","2014-06-05T10:26Z",NA,NA,NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84","",TRUE,FALSE,5374311,6,49,220,7225535,3112,3043831,NA,5374311,"Heliophila","","TAPIR","","2013-09-07T09:17Z","a","1883_10_31_-33.625_18.875_Heliophila acuminata",0.441215034965035,0.471548059783354,0.214645036336213,0.173728232551762,2018-10-31,304,169
"3","Heliophila acuminata",453256151,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,"","","","SANBI","PRECIS","","","PRESERVED_SPECIMEN",NA,NA,"","","NBG0032771-0","","Compton R.H.","",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","1953-09-06T00:00Z",NA,NA,NA,1953,9,6,"","","",NA,NA,NA,"","",NA,NA,"","",NA,NA,NA,"ZA","","","","Not available","","",NA,NA,NA,"","",-32.125,18.375,NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Heliophila acuminata (Eckl. & Zeyh.) Steud.",NA,NA,"","",NA,NA,"","Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Heliophila",NA,"acuminata","","SPECIES","",NA,"","","","","1881d048-04f9-4bc2-b7c8-931d1659a354","ZA","2014-06-05T10:26Z",NA,NA,NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84","",TRUE,FALSE,5374311,6,49,220,7225535,3112,3043831,NA,5374311,"Heliophila","","TAPIR","","2013-09-07T09:17Z","a","1953_9_6_-32.125_18.375_Heliophila acuminata",0.194784382284382,0.18675442204854,0.304949952008776,0.262100644453586,2018-09-06,249,114
"4","Heliophila acuminata",453256152,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,"","","","SANBI","PRECIS","","","PRESERVED_SPECIMEN",NA,NA,"","","NBG0003086-0","","Compton R.H.","",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","1945-09-01T00:00Z",NA,NA,NA,1945,9,1,"","","",NA,NA,NA,"","",NA,NA,"","",NA,NA,NA,"ZA","","","","Not available","","",NA,NA,NA,"","",-32.625,18.875,NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Heliophila acuminata (Eckl. & Zeyh.) Steud.",NA,NA,"","",NA,NA,"","Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Heliophila",NA,"acuminata","","SPECIES","",NA,"","","","","1881d048-04f9-4bc2-b7c8-931d1659a354","ZA","2014-06-05T10:26Z",NA,NA,NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84","",TRUE,FALSE,5374311,6,49,220,7225535,3112,3043831,NA,5374311,"Heliophila","","TAPIR","","2013-09-07T09:17Z","a","1945_9_1_-32.625_18.875_Heliophila acuminata",0.333114801864802,0.460852872617579,0.30015511449335,0.236733854380913,2018-09-01,244,109
"7","Heliophila acuminata",453256147,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,"","","","SANBI","PRECIS","","","PRESERVED_SPECIMEN",NA,NA,"","","NBG0175972-0","","Cloete I.S.A.; Haselau W.","",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","1986-08-28T00:00Z",NA,NA,NA,1986,8,28,"","","",NA,NA,NA,"","",NA,NA,"","",NA,NA,NA,"ZA","","","","Not available","","",NA,NA,NA,"","",-32.375,20.375,NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Fellingham,A.C.","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Heliophila acuminata (Eckl. & Zeyh.) Steud.",NA,NA,"","",NA,NA,"","Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Heliophila",NA,"acuminata","","SPECIES","",NA,"","","","","1881d048-04f9-4bc2-b7c8-931d1659a354","ZA","2014-06-05T10:26Z",NA,NA,NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84","",TRUE,FALSE,5374311,6,49,220,7225535,3112,3043831,NA,5374311,"Heliophila","","TAPIR","","2013-09-07T09:17Z","a","1986_8_28_-32.375_20.375_Heliophila acuminata",0.329494035376388,0.397469197469197,0.526292335115864,0.252022487316605,2018-08-28,240,105
"8","Heliophila acuminata",453256120,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,"","","","SANBI","PRECIS","","","PRESERVED_SPECIMEN",NA,NA,"","","PRE0407998-0","","Drege","",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","1830-09-30T00:00Z",NA,NA,NA,1830,9,30,"","","",NA,NA,NA,"","",NA,NA,"","",NA,NA,NA,"ZA","","","","Not available","","",NA,NA,NA,"","",-33.375,18.625,NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Heliophila acuminata (Eckl. & Zeyh.) Steud.",NA,NA,"","",NA,NA,"","Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Heliophila",NA,"acuminata","","SPECIES","",NA,"","","","","1881d048-04f9-4bc2-b7c8-931d1659a354","ZA","2014-06-05T10:26Z",NA,NA,NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84","",TRUE,FALSE,5374311,6,49,220,7225535,3112,3043831,NA,5374311,"Heliophila","","TAPIR","","2013-09-07T09:17Z","a","1830_9_30_-33.375_18.625_Heliophila acuminata",0.255754662004662,0.332990538872892,0.479676573426573,0.475044563279857,2018-09-30,273,138
"12","Heliophila acuminata",685220466,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,"","","","SANBI","PRECIS","","","PRESERVED_SPECIMEN",NA,NA,"","","NBG0248094-0","","Cowell C.; Nurrish L.","",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","2006-08-12T00:00Z",NA,NA,NA,2006,8,12,"","","",NA,NA,NA,"","",NA,NA,"","",NA,NA,NA,"ZA","","","","Not available","","",NA,NA,NA,"","",-31.375,19.125,NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Cupido, C.N.","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Heliophila acuminata (Eckl. & Zeyh.) Steud.",NA,NA,"","",NA,NA,"","Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Heliophila",NA,"acuminata","","SPECIES","",NA,"","","","","1881d048-04f9-4bc2-b7c8-931d1659a354","ZA","2014-06-05T14:12Z",NA,NA,NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84","",TRUE,FALSE,5374311,6,49,220,7225535,3112,3043831,NA,5374311,"Heliophila","","TAPIR","","2013-09-07T09:18Z","a","2006_8_12_-31.375_19.125_Heliophila acuminata",0.336812697106815,0.449730661495367,0.542168003565062,0.473810503222268,2018-08-12,224,89
"14","Heliophila acuminata",453256129,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,"","","","SANBI","PRECIS","","","PRESERVED_SPECIMEN",NA,NA,"","","PRE0408007-0","","Schlechter F.R.R.","",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","1894-08-21T00:00Z",NA,NA,NA,1894,8,21,"","","",NA,NA,NA,"","",NA,NA,"","",NA,NA,NA,"ZA","","","","Not available","","",NA,NA,NA,"","",-31.625,20.125,NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Heliophila acuminata (Eckl. & Zeyh.) Steud.",NA,NA,"","",NA,NA,"","Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Heliophila",NA,"acuminata","","SPECIES","",NA,"","","","","1881d048-04f9-4bc2-b7c8-931d1659a354","ZA","2014-06-05T10:26Z",NA,NA,NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84","",TRUE,FALSE,5374311,6,49,220,7225535,3112,3043831,NA,5374311,"Heliophila","","TAPIR","","2013-09-07T09:17Z","a","1894_8_21_-31.625_20.125_Heliophila acuminata",0.361099684629096,0.422816399286987,0.574926299191005,0.497806115453174,2018-08-21,233,98
"16","Heliophila acuminata",453256125,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,"","","","SANBI","PRECIS","","","PRESERVED_SPECIMEN",NA,NA,"","","PRE0408003-0","","Bolus H.","",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","1892-09-30T00:00Z",NA,NA,NA,1892,9,30,"","","",NA,NA,NA,"","",NA,NA,"","",NA,NA,NA,"ZA","","","","Not available","","",NA,NA,NA,"","",-32.875,18.625,NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Heliophila acuminata (Eckl. & Zeyh.) Steud.",NA,NA,"","",NA,NA,"","Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Heliophila",NA,"acuminata","","SPECIES","",NA,"","","","","1881d048-04f9-4bc2-b7c8-931d1659a354","ZA","2014-06-05T10:26Z",NA,NA,NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84","",TRUE,FALSE,5374311,6,49,220,7225535,3112,3043831,NA,5374311,"Heliophila","","TAPIR","","2013-09-07T09:17Z","a","1892_9_30_-32.875_18.625_Heliophila acuminata",0.297785547785548,0.343891402714932,0.373277457836281,0.328877005347594,2018-09-30,273,138
"18","Heliophila acuminata",453256131,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,"","","","SANBI","PRECIS","","","PRESERVED_SPECIMEN",NA,NA,"","","PRE0408009-0","","Bolus H.","",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","1905-08-31T00:00Z",NA,NA,NA,1905,8,31,"","","",NA,NA,NA,"","",NA,NA,"","",NA,NA,NA,"ZA","","","","Not available","","",NA,NA,NA,"","",-33.375,18.375,NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Heliophila acuminata (Eckl. & Zeyh.) Steud.",NA,NA,"","",NA,NA,"","Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Heliophila",NA,"acuminata","","SPECIES","",NA,"","","","","1881d048-04f9-4bc2-b7c8-931d1659a354","ZA","2014-06-05T10:26Z",NA,NA,NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84","",TRUE,FALSE,5374311,6,49,220,7225535,3112,3043831,NA,5374311,"Heliophila","","TAPIR","","2013-09-07T09:17Z","a","1905_8_31_-33.375_18.375_Heliophila acuminata",0.338141025641026,0.396270396270396,0.454099821746881,0.535239270533388,2018-08-31,243,108
