"species","Winter","Spring","Summer","Fall","life_history"
"Heliophila acuminata",0.324702287088643,0.379342046681224,0.406203505755196,0.364469040570171,"a"
"Heliophila africana",0.32549196372697,0.346506376406801,0.3394881701992,0.339006537134879,"a"
"Heliophila amplexicaulis",0.321192516078763,0.356830051258834,0.388927618047784,0.32760037088775,"a"
"Heliophila arenaria",0.339164815914309,0.371895860419811,0.382688368000714,0.339206133233283,"a"
"Heliophila carnosa",0.32667181016008,0.367520706927876,0.388563162167664,0.314701915625787,"p"
"Heliophila cedarbergensis",0.39946409799351,0.433687880746704,0.318873120343709,0.27366424425248,"p"
"Heliophila collina",0.355844217057452,0.469790713488193,0.475619050067579,0.442106912695148,"a"
"Heliophila cornellsbergia",0.334361716714658,0.415186774010303,0.349033319621555,0.212909639380228,"a"
"Heliophila cornuta",0.351020212315349,0.395324729628748,0.403306591971414,0.338595398001339,"p"
"Heliophila coronopifolia",0.368695126677188,0.415018537919146,0.398480123559845,0.366055391532065,"a"
"Heliophila crithmifolia",0.345352340929087,0.41893023234935,0.451975254881964,0.383919797522739,"a"
"Heliophila descurva",0.361097899241282,0.379851194557077,0.380196192696193,0.291849490378902,"a"
"Heliophila deserticola",0.48406402034498,0.484957324851177,0.462257008986885,0.446524579651515,"a"
"Heliophila digitata",0.332789966588141,0.376201776587172,0.438298222342633,0.384869776380933,"a"
"Heliophila dregeana",0.332346995835047,0.365464070243482,0.331889579476896,0.31093171534348,"p"
"Heliophila elongata",0.259154516507458,0.320813754147087,0.297461215557621,0.253064413195132,"p"
"Heliophila ephemera",0.136437908496732,0.272526166643814,0.311473044928927,0.258946935417524,"a"
"Heliophila esterhuyseniae",0.212825369075369,0.303258832670597,0.373733088806618,0.273549979432332,"p"
"Heliophila eximia",0.424842314548197,0.412323460852873,0.320343565747978,0.341697518168106,"p"
"Heliophila gariepina",0.49781040038393,0.534194726841786,0.482964186548745,0.405788655788656,"a"
"Heliophila glauca",0.290213952713953,0.347289964937024,0.342401226224756,0.32571350218409,"p"
"Heliophila juncea",0.32213306606372,0.373412495623449,0.391712909061559,0.345614830959659,"p"
"Heliophila linearis",0.316356466822027,0.329162797339613,0.275932614150791,0.296536558330395,"p"
"Heliophila macowaniana",0.326119430772068,0.378009954886223,0.447167838078081,0.385653224395618,"a"
"Heliophila macra",0.302296735123353,0.303408601970284,0.319766230040002,0.285143392473284,"p"
"Heliophila macrosperma",0.28177790346908,0.35689251924546,0.349601501439737,0.250898121486357,"p"
"Heliophila minima",0.356022531390178,0.450351049510713,0.507377916201446,0.392928639987464,"p"
"Heliophila namaquana",0.393957604895105,0.463988829797653,0.478613107174688,0.38713492389963,"a"
"Heliophila nubigena",0.307559023793544,0.356986151103798,0.426695434338623,0.381782819863315,"p"
"Heliophila pectinata",0.274538459395996,0.340480597833539,0.500642203996983,0.336062834224599,"a"
"Heliophila polygaloides",0.398701023241464,0.483891925068396,0.42347827825769,0.34194890077243,"p"
"Heliophila pubescens",0.309483884851532,0.396566831860949,0.482134695369989,0.392552980788275,"a"
"Heliophila pusilla",0.326308565306525,0.382207972739044,0.389299622137588,0.341232777610244,"a"
"Heliophila rigidiuscula",0.298682317328627,0.334178301221382,0.276405125059196,0.243230747233048,"p"
"Heliophila scoparia",0.312440789040567,0.365998140434536,0.360572711083572,0.309703134690095,"p"
"Heliophila seselifolia",0.365070459924864,0.423613594065303,0.447807194216615,0.396519970728116,"a"
"Heliophila suavissima",0.301538448497368,0.388596101255948,0.422094695851889,0.313029468400312,"p"
"Heliophila subulata",0.293340320325516,0.326077946027138,0.31172567144116,0.294185950851108,"p"
"Heliophila tricuspidata",0.275909905045934,0.332171015259251,0.375896621760592,0.301050665021253,"p"
"Heliophila trifurca",0.453049846766424,0.477894425411614,0.480280915608456,0.429114557456803,"a"
"Heliophila tulbaghensis",0.361752422414187,0.407990702108349,0.361576740253211,0.34802778920426,"p"
"Heliophila variabilis",0.347206600078843,0.412952876371994,0.40270207733443,0.368844696969697,"a"
